character played,opponent char,ipm,win,length,openingPerKill,damagePerOpening,neutralWinRatio,openingConversionRate,ddCount,wdCount,lgCount,numGrabs
Fox,1,431,0,6729,0,11.4,0.4,0.3,48,13,1,3
Marth,1,404,1,7379,2.3,31.8,0.4,0.8,42,14,9,10
Fox,2,507,0,9614,6.7,21.6,0.5,0.6,67,35,7,7
Jigglypuff,0,346,0,5321,5,13.2,0.1,0.2,3,2,0,4
Fox,1,449,0,7501,13,10.8,0.4,0.2,18,40,6,6
Falco,2,470,0,9945,5.7,16.8,0.4,0.6,18,6,3,4
Fox,0,556,0,12339,7,23.1,0.5,0.6,146,28,7,12
Falco,1,446,0,7596,13,12.3,0.6,0.6,20,4,3,2
Falco,1,419,0,8760,18,15.1,0.4,0.3,28,21,1,0
Marth,0,552,1,9534,4.8,23.7,0.8,0.7,52,50,1,9
Marth,2,278,0,7139,5.5,15.2,0.3,0.3,0,2,4,1
Fox,1,427,1,8965,4.3,19.1,0.6,0.5,30,23,4,9
Fox,0,439,1,6993,3,16.5,0.4,0.5,14,19,3,1
Falco,2,422,0,9937,8.7,17.4,0.5,0.4,12,10,8,5
Falco,1,446,0,9497,7.3,13.5,0.4,0.4,2,10,8,2
Falco,0,398,0,9269,6.3,21.2,0.6,0.6,23,16,5,7
Falco,0,424,1,10664,5.8,20.6,0.4,0.6,19,18,5,0
